description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 perfect topaz + antidote -> 2 flawless topazes	1			0					2	gpy	yps						gly																													gly																																																										0
1 flawless topaz + antidote -> 2 standard topazes	1			0					2	gly	yps						gsy																													gsy																																																										0
1 standard topaz + antidote -> 2 flawed topazes	1			0					2	gsy	yps						gfy																													gfy																																																										0
1 flawed topaz + antidote -> 2 chipped topazes	1			0					2	gfy	yps						gcy																													gcy																																																										0
1 perfect emerald + antidote -> 2 flawless emeralds	1			0					2	gpg	yps						glg																													glg																																																										0
1 flawless emerald + antidote -> 2 standard emeralds	1			0					2	glg	yps						gsg																													gsg																																																										0
1 standard emerald + antidote -> 2 flawed emeralds	1			0					2	gsg	yps						gfg																													gfg																																																										0
1 flawed emerald + antidote -> 2 chipped emeralds	1			0					2	gfg	yps						gcg																													gcg																																																										0
1 perfect diamonds + antidote -> 2 flawless diamonds	1			0					2	gpw	yps						glw																													glw																																																										0
1 flawless diamonds + antidote -> 2 standard diamonds	1			0					2	glw	yps						gsw																													gsw																																																										0
1 standard diamonds + antidote -> 2 flawed diamonds	1			0					2	gsw	yps						gfw																													gfw																																																										0
1 flawed diamonds + antidote -> 2 chipped diamonds	1			0					2	gfw	yps						gcw																													gcw																																																										0
1 perfect skull + antidote -> 2 flawless skulls	1			0					2	skz	yps						skl																													skl																																																										0
1 flawless skull + antidote -> 2 standard skulls	1			0					2	skl	yps						sku																													sku																																																										0
1 standard skull + antidote -> 2 flawed skulls	1			0					2	sku	yps						skf																													skf																																																										0
1 flawed skull + antidote -> 2 chipped skulls	1			0					2	skf	yps						skc																													skc																																																										0
ROLL ITEMS																																																																																																								0
3 rare rings -> rare amulet	1			0					3	"rin,rar,qty=3"							"amu,rar"		100																																																																																					0
3 rare amulets -> rare ring	1			0					3	"amu,rar,qty=3"							"rin,rar"		100																																																																																					0
3 sm charms -> 1 large charm	1			100					3	"scha,mag,qty=3"							"mcha,mag"		100																																																																																					0
3 large charms -> 1 grand charm	1			100					3	"mcha,mag,qty=3"							"lcha,mag"		100																																																																																					0
3 grand charms -> 1 sm charm	1			100					3	"lcha,mag,qty=3"							"scha,mag"		100																																																																																					0
2 magic jewels -> 1 rare jewel	1			0					2	"jew,mag,qty=2"							"jew,rar"		100																																																																																					0
2 rare jewels -> 1 magic jewel	1			0					2	"jew,rar,qty=2"							"jew,mag"		100																																																																																					0
weap,eli,uni -> r22	1			100					2	"weap,eli,uni"	wms						r22																																																																																							0
armo,eli,uni -> r22	1			100					2	"armo,eli,uni"	wms						r22																																																																																							0
